== задание a2-refresh-full ==
строка: run research/a2_storage/refresh.py --interval 1m
начало: 2026-08-27T12:02:52Z
запускаю: .venv/bin/python research/a2_storage/refresh.py --interval 1m
край хранилища 2026-06-30, дней к докачке 57
символов 573, файлов к обходу 32661
  2000/32661 файлов, скачано 1966, нет в архиве 34, 1.8 мин
  4000/32661 файлов, скачано 3966, нет в архиве 34, 3.7 мин
  6000/32661 файлов, скачано 5966, нет в архиве 34, 5.5 мин
  8000/32661 файлов, скачано 7966, нет в архиве 34, 7.4 мин
  10000/32661 файлов, скачано 9966, нет в архиве 34, 9.2 мин
  12000/32661 файлов, скачано 11966, нет в архиве 34, 11.0 мин
  14000/32661 файлов, скачано 13909, нет в архиве 91, 12.8 мин
  16000/32661 файлов, скачано 15909, нет в архиве 91, 14.6 мин
  18000/32661 файлов, скачано 17909, нет в архиве 91, 16.5 мин
  20000/32661 файлов, скачано 19909, нет в архиве 91, 18.4 мин
  22000/32661 файлов, скачано 21909, нет в архиве 91, 20.2 мин
  24000/32661 файлов, скачано 23909, нет в архиве 91, 22.1 мин
  26000/32661 файлов, скачано 25909, нет в архиве 91, 23.9 мин
  28000/32661 файлов, скачано 27909, нет в архиве 91, 25.7 мин
  30000/32661 файлов, скачано 29909, нет в архиве 91, 27.6 мин
