== задание backfill-fav-write ==
строка: run research/dca_paper/backfill_fav.py --write
начало: 2026-09-22T12:05:03Z
запускаю: .venv/bin/python research/dca_paper/backfill_fav.py --write
sheets.jsonl: ног 1368010
h24/gbm: часов 750, коротких выборов 2250, ног под краем 2234, отброшено (нет полей / знак) 10
h24/nn: часов 750, коротких выборов 2250, ног под краем 2089, отброшено (нет полей / знак) 149
ног обеих рук: 4323
ног в индексе 11256: длинных 7489, коротких 3767
  pair-2026-08-08.jsonl: строк 1749, дописано 201, ноги нет 0
  pair-2026-08-09.jsonl: строк 3017, дописано 230, ноги нет 0
  pair-2026-08-10.jsonl: строк 1136, дописано 142, ноги нет 0
  pair-2026-08-11.jsonl: строк 1660, дописано 226, ноги нет 0
  pair-2026-08-12.jsonl: строк 1443, дописано 216, ноги нет 0
  pair-2026-08-13.jsonl: строк 4018, дописано 200, ноги нет 0
  pair-2026-08-14.jsonl: строк 1689, дописано 196, ноги нет 0
  pair-2026-08-15.jsonl: строк 2553, дописано 167, ноги нет 0
  pair-2026-08-16.jsonl: строк 1972, дописано 188, ноги нет 0
  pair-2026-08-17.jsonl: строк 1567, дописано 191, ноги нет 0
  pair-2026-08-18.jsonl: строк 934, дописано 126, ноги нет 0
  pair-2026-08-19.jsonl: строк 6187, дописано 333, ноги нет 0
  pair-2026-08-20.01.jsonl: строк 3122, дописано 237, ноги нет 0
  pair-2026-08-21.01.jsonl: строк 4715, дописано 282, ноги нет 0
  pair-2026-08-22.jsonl: строк 8434, дописано 230, ноги нет 0
  pair-2026-08-23.jsonl: строк 1447, дописано 189, ноги нет 0
  pair-2026-08-24.jsonl: строк 2662, дописано 160, ноги нет 0
  pair-2026-08-25.jsonl: строк 3316, дописано 143, ноги нет 0
  pair-2026-08-26.jsonl: строк 1434, дописано 170, ноги нет 0
  pair-2026-08-27.jsonl: строк 1266, дописано 193, ноги нет 0
  pair-2026-08-28.jsonl: строк 1074, дописано 82, ноги нет 0
  pair-2026-08-29.jsonl: строк 1073, дописано 126, ноги нет 0
  pair-2026-08-30.jsonl: строк 562, дописано 72, ноги нет 0
  pair-2026-08-31.jsonl: строк 513, дописано 75, ноги нет 0
  pair-2026-09-01.jsonl: строк 585, дописано 42, ноги нет 0
  pair-2026-09-02.jsonl: строк 1423, дописано 135, ноги нет 0
  pair-2026-09-03.jsonl: строк 2095, дописано 198, ноги нет 0
  pair-2026-09-04.jsonl: строк 944, дописано 99, ноги нет 0
  pair-2026-09-05.jsonl: строк 922, дописано 115, ноги нет 0
  pair-2026-09-06.jsonl: строк 1129, дописано 165, ноги нет 0
  pair-2026-09-07.jsonl: строк 483, дописано 114, ноги нет 0
  pair-2026-09-08.jsonl: строк 420, дописано 111, ноги нет 0
  pair-2026-09-09.jsonl: строк 363, дописано 120, ноги нет 0
  pair-2026-09-10.jsonl: строк 209, дописано 101, ноги нет 0
  pair-2026-09-11.jsonl: строк 376, дописано 185, ноги нет 0
  pair-2026-09-12.jsonl: строк 120, дописано 60, ноги нет 0
  pair-2026-09-13.jsonl: строк 90, дописано 54, ноги нет 0
  pair-2026-09-14.jsonl: строк 274, дописано 212, ноги нет 0
  pair-2026-09-15.jsonl: строк 153, дописано 91, ноги нет 0
  pair-2026-09-16.jsonl: строк 93, дописано 48, ноги нет 0
  pair-2026-09-17.jsonl: строк 166, дописано 149, ноги нет 0
  pair-2026-09-18.jsonl: строк 340, дописано 245, ноги нет 0
  pair-2026-09-19.jsonl: строк 200, дописано 142, ноги нет 0
  pair-2026-09-20.jsonl: строк 111, дописано 99, ноги нет 0
  pair-2026-09-21.jsonl: строк 12, дописано 12, ноги нет 0
итого строк 200653, дописано 6872, обещание не найдено 0
конец: 2026-09-22T12:05:20Z, код 0
