== задание dca-fav-write ==
строка: run research/dca_paper/backfill_fav.py --write
начало: 2026-09-05T16:23:42Z
запускаю: .venv/bin/python research/dca_paper/backfill_fav.py --write
sheets.jsonl: ног 923916
ног в индексе 7332
  journal-2026-08-08.jsonl: строк 330, дописано 57, ноги нет 0
  journal-2026-08-09.jsonl: строк 1322, дописано 230, ноги нет 0
  journal-2026-08-10.jsonl: строк 147, дописано 27, ноги нет 0
  journal-2026-08-11.jsonl: строк 202, дописано 34, ноги нет 0
  journal-2026-08-12.jsonl: строк 30, дописано 6, ноги нет 0
  journal-2026-08-13.jsonl: строк 2532, дописано 352, ноги нет 0
  journal-2026-08-14.jsonl: строк 467, дописано 50, ноги нет 0
  journal-2026-08-15.jsonl: строк 1378, дописано 201, ноги нет 0
  journal-2026-08-16.jsonl: строк 601, дописано 112, ноги нет 0
  journal-2026-08-17.jsonl: строк 300, дописано 60, ноги нет 0
  journal-2026-08-18.jsonl: строк 174, дописано 30, ноги нет 0
  journal-2026-08-19.jsonl: строк 4787, дописано 912, ноги нет 0
  journal-2026-08-20.jsonl: строк 14379, дописано 2301, ноги нет 0
  journal-2026-08-21.jsonl: строк 14796, дописано 2365, ноги нет 0
  journal-2026-08-22.jsonl: строк 8244, дописано 1374, ноги нет 0
  journal-2026-08-23.jsonl: строк 174, дописано 30, ноги нет 0
  journal-2026-08-24.jsonl: строк 2425, дописано 271, ноги нет 0
  journal-2026-08-25.jsonl: строк 1946, дописано 357, ноги нет 0
  journal-2026-08-26.jsonl: строк 262, дописано 38, ноги нет 0
  journal-2026-08-27.jsonl: строк 180, дописано 30, ноги нет 0
  journal-2026-08-28.jsonl: строк 192, дописано 24, ноги нет 0
  journal-2026-08-29.jsonl: строк 30, дописано 6, ноги нет 0
  journal-2026-08-30.jsonl: строк 60, дописано 12, ноги нет 0
  journal-2026-08-31.jsonl: строк 60, дописано 12, ноги нет 0
  journal-2026-09-01.jsonl: строк 150, дописано 24, ноги нет 0
  journal-2026-09-02.jsonl: строк 114, дописано 18, ноги нет 0
  journal-2026-09-03.jsonl: строк 444, дописано 48, ноги нет 0
итого строк 77965, дописано 8981, обещание не найдено 0
конец: 2026-09-05T16:23:50Z, код 0
