== задание exitpx-write ==
строка: run research/dca_paper/backfill_exit_px.py --write
начало: 2026-09-26T20:50:04Z
запускаю: .venv/bin/python research/dca_paper/backfill_exit_px.py --write
  short-2026-08-14.jsonl: строк 783, исправлено 18, без заполнений 0
  short-2026-08-18.jsonl: строк 510, исправлено 24, без заполнений 0
  short-2026-08-19.jsonl: строк 1115, исправлено 300, без заполнений 0
  short-2026-08-20.jsonl: строк 928, исправлено 297, без заполнений 0
  short-2026-08-21.jsonl: строк 968, исправлено 288, без заполнений 0
  short-2026-08-22.jsonl: строк 1022, исправлено 110, без заполнений 0
  short-2026-08-23.jsonl: строк 905, исправлено 102, без заполнений 0
  short-2026-08-24.jsonl: строк 784, исправлено 36, без заполнений 0
  short-2026-08-26.jsonl: строк 791, исправлено 106, без заполнений 0
  short-2026-08-27.jsonl: строк 657, исправлено 51, без заполнений 0
  short-2026-08-29.jsonl: строк 555, исправлено 48, без заполнений 0
  short-2026-08-30.jsonl: строк 285, исправлено 21, без заполнений 0
  short-2026-08-31.jsonl: строк 270, исправлено 63, без заполнений 0
  short-2026-09-02.jsonl: строк 621, исправлено 84, без заполнений 0
  short-2026-09-03.jsonl: строк 765, исправлено 96, без заполнений 0
  short-2026-09-04.jsonl: строк 438, исправлено 39, без заполнений 0
  short-2026-09-05.jsonl: строк 396, исправлено 111, без заполнений 0
  short-2026-09-06.jsonl: строк 627, исправлено 36, без заполнений 0
  short-2026-09-10.jsonl: строк 210, исправлено 21, без заполнений 0
  short-2026-09-11.jsonl: строк 351, исправлено 99, без заполнений 0
  short-2026-09-14.jsonl: строк 213, исправлено 147, без заполнений 0
  short-2026-09-16.jsonl: строк 48, исправлено 24, без заполнений 0
  short-2026-09-17.jsonl: строк 153, исправлено 144, без заполнений 0
  short-2026-09-18.jsonl: строк 246, исправлено 183, без заполнений 0
  short-2026-09-19.jsonl: строк 160, исправлено 29, без заполнений 0
  short-2026-09-20.jsonl: строк 99, исправлено 78, без заполнений 0
  short-2026-09-22.jsonl: строк 48, исправлено 42, без заполнений 0
  short-2026-09-24.jsonl: строк 120, исправлено 114, без заполнений 0
  short-2026-09-25.jsonl: строк 138, исправлено 75, без заполнений 0
  pair-2026-08-14.jsonl: строк 1689, исправлено 18, без заполнений 0
  pair-2026-08-18.jsonl: строк 934, исправлено 24, без заполнений 0
  pair-2026-08-19.jsonl: строк 6187, исправлено 289, без заполнений 0
  pair-2026-08-20.01.jsonl: строк 3122, исправлено 209, без заполнений 0
  pair-2026-08-21.01.jsonl: строк 4715, исправлено 249, без заполнений 0
  pair-2026-08-22.jsonl: строк 8434, исправлено 94, без заполнений 0
  pair-2026-08-23.jsonl: строк 1447, исправлено 83, без заполнений 0
  pair-2026-08-24.jsonl: строк 2662, исправлено 32, без заполнений 0
  pair-2026-08-26.jsonl: строк 1434, исправлено 92, без заполнений 0
  pair-2026-08-27.jsonl: строк 1266, исправлено 51, без заполнений 0
  pair-2026-08-29.jsonl: строк 1073, исправлено 48, без заполнений 0
  pair-2026-08-30.jsonl: строк 562, исправлено 21, без заполнений 0
  pair-2026-08-31.jsonl: строк 513, исправлено 63, без заполнений 0
  pair-2026-09-02.jsonl: строк 1423, исправлено 84, без заполнений 0
  pair-2026-09-03.jsonl: строк 2095, исправлено 96, без заполнений 0
  pair-2026-09-04.jsonl: строк 944, исправлено 36, без заполнений 0
  pair-2026-09-05.jsonl: строк 922, исправлено 109, без заполнений 0
  pair-2026-09-06.jsonl: строк 1129, исправлено 34, без заполнений 0
  pair-2026-09-10.jsonl: строк 209, исправлено 21, без заполнений 0
  pair-2026-09-11.jsonl: строк 376, исправлено 95, без заполнений 0
  pair-2026-09-14.jsonl: строк 274, исправлено 146, без заполнений 0
  pair-2026-09-16.jsonl: строк 93, исправлено 24, без заполнений 0
  pair-2026-09-17.jsonl: строк 166, исправлено 140, без заполнений 0
  pair-2026-09-18.jsonl: строк 340, исправлено 189, без заполнений 0
  pair-2026-09-19.jsonl: строк 209, исправлено 28, без заполнений 0
  pair-2026-09-20.jsonl: строк 111, исправлено 78, без заполнений 0
  pair-2026-09-22.jsonl: строк 48, исправлено 42, без заполнений 0
  pair-2026-09-24.jsonl: строк 120, исправлено 114, без заполнений 0
  pair-2026-09-25.jsonl: строк 140, исправлено 74, без заполнений 0
итого строк 111049, исправлено 5369, без заполнений 0
конец: 2026-09-26T20:50:06Z, код 0
