== задание z3-stats-2 ==
строка: run research/z3_ladder/screen3.py --stats
начало: 2026-08-26T16:03:45Z
запускаю: .venv/bin/python research/z3_ladder/screen3.py --stats
распределение величин: суток 4, символов 731
сутки       величина             минут     >0        p50        p90        p99      p99.9
2026-08-04  cancel_b/vis       781 815   0.98   0.006248    0.03497      0.158     0.2928
2026-08-04  cancel_a/vis       781 815   0.96   0.004808    0.03409     0.1574     0.2978
2026-08-04  dead_b/vis         781 815   0.00          0          0          0          0
2026-08-04  dead_a/vis         781 815   0.00          0          0          0          0
2026-08-04  eat_b/vis          781 815   0.31          0   6.12e-05   0.001859    0.01057
2026-08-04  eat_a/vis          781 815   0.29          0  6.741e-05   0.001832    0.01019
2026-08-04  add_b/vis          781 815   0.98   0.006181    0.03495     0.1575     0.2943
2026-08-04  refill_b/eat       241 128   0.35          0      4.471      208.3       6588
2026-08-04  refill_a/eat       229 552   0.37          0      4.475        140       2370
2026-08-04  vis_b              781 815   1.00  1.185e+06  1.381e+07  2.602e+08  8.063e+08
2026-08-04  vis_a              781 815   1.00  1.147e+06  1.295e+07   2.35e+08  8.404e+08
2026-08-04  eat_b              781 815   0.31          0      142.5       7403  1.569e+05
2026-08-04  eat_a              781 815   0.29          0      147.2       7467  1.489e+05
2026-08-04  cancel_b           781 815   0.98       6790  1.489e+05  2.835e+06  4.903e+07
2026-08-04  cancel_a           781 815   0.96       4717  1.409e+05  2.781e+06  3.363e+07
2026-08-04  add_b              781 815   0.98       6737  1.497e+05  2.823e+06  4.535e+07
2026-08-04  add_a              781 815   0.97       4779  1.412e+05  2.796e+06  3.002e+07
2026-08-04  dead_b             781 815   0.00          0          0          0          0
2026-08-04  dead_a             781 815   0.00          0          0          0          0
2026-08-04  refill_b           781 815   0.14          0      54.85  1.192e+04  7.832e+05
2026-08-04  refill_a           781 815   0.14          0      54.25  1.289e+04  7.146e+05
2026-08-04  sweep              658 566   0.48          0       24.7       1516  4.627e+04
2026-08-04  pairs              781 815   1.00         60         60         61         61
2026-08-05  cancel_b/vis       786 228   0.98   0.006165    0.03704     0.1898     0.3686
2026-08-05  cancel_a/vis       786 228   0.96   0.004852    0.03672     0.1889     0.3651
2026-08-05  dead_b/vis         786 228   0.00          0          0          0          0
2026-08-05  dead_a/vis         786 228   0.00          0          0          0          0
2026-08-05  eat_b/vis          786 228   0.31          0  6.951e-05   0.002322    0.01134
2026-08-05  eat_a/vis          786 228   0.29          0  7.505e-05   0.002277    0.01113
2026-08-05  add_b/vis          786 228   0.98   0.006135    0.03701     0.1888     0.3682
2026-08-05  refill_b/eat       240 020   0.38          0      4.893      154.9       2750
2026-08-05  refill_a/eat       230 139   0.39          0      5.268      147.2       2595
2026-08-05  vis_b              786 228   1.00  1.172e+06  1.407e+07   2.75e+08  8.809e+08
2026-08-05  vis_a              786 228   1.00  1.147e+06  1.287e+07  2.561e+08  9.071e+08
2026-08-05  eat_b              786 228   0.31          0      152.3       7234   1.76e+05
2026-08-05  eat_a              786 228   0.29          0      157.7       7252  1.644e+05
2026-08-05  cancel_b           786 228   0.98       6655  1.482e+05  2.913e+06  4.699e+07
2026-08-05  cancel_a           786 228   0.96       4691  1.363e+05  2.952e+06  4.084e+07
2026-08-05  add_b              786 228   0.98       6631  1.484e+05  2.915e+06  4.269e+07
2026-08-05  add_a              786 228   0.97       4719  1.371e+05  2.927e+06   3.65e+07
2026-08-05  dead_b             786 228   0.00          0          0          0          0
2026-08-05  dead_a             786 228   0.00          0          0          0          0
2026-08-05  refill_b           786 228   0.14          0      72.43  1.219e+04  9.224e+05
2026-08-05  refill_a           786 228   0.14          0      72.12  1.458e+04  9.054e+05
2026-08-05  sweep              661 510   0.48          0      23.83       1701  5.552e+04
2026-08-05  pairs              786 228   1.00         60         60         61         61
2026-08-06  cancel_b/vis       785 136   0.98   0.006379    0.03662     0.1945     0.3877
2026-08-06  cancel_a/vis       785 136   0.96   0.005148    0.03575     0.1896     0.3853
2026-08-06  dead_b/vis         785 136   0.00          0          0          0          0
2026-08-06  dead_a/vis         785 136   0.00          0          0          0          0
2026-08-06  eat_b/vis          785 136   0.30          0  6.431e-05    0.00275    0.02162
2026-08-06  eat_a/vis          785 136   0.29          0  7.046e-05   0.002775    0.02246
2026-08-06  add_b/vis          785 136   0.98   0.006363    0.03638     0.1926     0.3991
2026-08-06  refill_b/eat       238 239   0.37          0      5.283      195.8       2955
2026-08-06  refill_a/eat       230 460   0.39          0      5.324      159.5       3131
2026-08-06  vis_b              785 136   1.00  1.157e+06  1.413e+07  2.831e+08  9.669e+08
2026-08-06  vis_a              785 136   1.00  1.148e+06  1.306e+07  2.707e+08  9.374e+08
2026-08-06  eat_b              785 136   0.30          0      136.9       6590  1.276e+05
2026-08-06  eat_a              785 136   0.29          0        149       7134  1.368e+05
2026-08-06  cancel_b           785 136   0.98       6737  1.446e+05  2.949e+06   4.18e+07
2026-08-06  cancel_a           785 136   0.96       4891   1.34e+05  3.021e+06  4.238e+07
2026-08-06  add_b              785 136   0.98       6687  1.453e+05  2.941e+06   3.77e+07
2026-08-06  add_a              785 136   0.96       4893  1.349e+05  2.963e+06  3.788e+07
2026-08-06  dead_b             785 136   0.00          0          0          0          0
2026-08-06  dead_a             785 136   0.00          0          0          0          0
2026-08-06  refill_b           785 136   0.14          0      71.83   1.29e+04  8.241e+05
2026-08-06  refill_a           785 136   0.14          0      72.82  1.559e+04  8.513e+05
2026-08-06  sweep              665 637   0.47          0      20.63       1625   5.16e+04
2026-08-06  pairs              785 136   1.00         59         60         61         61
2026-08-24  cancel_b/vis         3 781   1.00    0.03531    0.09442     0.2321     0.4404
2026-08-24  cancel_a/vis         3 781   1.00    0.03578     0.0941     0.2254     0.4568
2026-08-24  dead_b/vis           3 781   0.00          0          0          0          0
2026-08-24  dead_a/vis           3 781   0.00          0          0          0          0
2026-08-24  eat_b/vis            3 781   0.81  7.497e-06  0.0001117  0.0008248   0.002171
2026-08-24  eat_a/vis            3 781   0.82  8.438e-06  0.0001346   0.000731   0.001903
2026-08-24  add_b/vis            3 781   1.00    0.03994    0.09837      0.231     0.4405
2026-08-24  refill_b/eat         3 058   0.57     0.1318       9.95      160.2      701.8
2026-08-24  refill_a/eat         3 106   0.59     0.1413      10.94      156.8      598.3
2026-08-24  vis_b                3 781   1.00  1.599e+07  2.057e+07  2.335e+07  2.569e+07
2026-08-24  vis_a                3 781   1.00  1.592e+07  2.116e+07  2.325e+07   2.48e+07
2026-08-24  eat_b                3 781   0.81      111.2       1599  1.132e+04  3.582e+04
2026-08-24  eat_a                3 781   0.82      129.6       1956  1.079e+04   3.08e+04
2026-08-24  cancel_b             3 781   1.00   5.21e+05  1.444e+06  3.376e+06  7.809e+06
2026-08-24  cancel_a             3 781   1.00  5.417e+05  1.445e+06  3.628e+06  7.516e+06
2026-08-24  add_b                3 781   1.00  6.043e+05  1.452e+06  3.383e+06   7.41e+06
2026-08-24  add_a                3 781   1.00  6.028e+05   1.48e+06  3.671e+06  7.883e+06
2026-08-24  dead_b               3 781   0.00          0          0          0          0
2026-08-24  dead_a               3 781   0.00          0          0          0          0
2026-08-24  refill_b             3 781   0.52        7.5       1971  1.019e+04  3.431e+04
2026-08-24  refill_a             3 781   0.53       18.9       2095       9004  2.648e+04
2026-08-24  sweep                3 777   0.95      12.52      74.29      327.9      685.6
2026-08-24  pairs                3 781   1.00         54         60         61         61
ВНИМАНИЕ: `dead` равен нулю во всех минутах — уровень, ушедший в ноль, площадка, видимо, просто убирает из лесенки. Тогда это структурный ноль меры, а не рынка, и условия по нему из пространства надо снимать ДО прогона.
конец: 2026-08-26T16:03:47Z, код 0
